family,n_iso,n_genes,median_idr,mean_idr,tf_frac
SEC16 family,8,2,82.106,70.698,0.0
Paralemmin family,3,1,81.741,82.843,0.0
Ataxin-7 family,3,1,81.693,82.933,0.0
LSM14 family,6,2,81.656,83.783,0.0
TET family,10,3,81.597,83.813,1.0
PHF23 family,4,1,81.546,85.267,0.0
P33MONOX family,3,1,81.311,87.477,0.0
CCDC78 family,6,1,81.116,76.064,0.0
Distal-less homeobox family,6,2,80.051,80.547,1.0
GAB family,3,1,79.693,79.235,0.0
GIGYF family,4,1,79.63,79.721,0.0
SRC/p160 nuclear receptor coactivator family,8,2,79.221,78.97,1.0
TALE/TGIF homeobox family,4,1,79.024,80.043,1.0
Fibrillar collagen family,19,4,78.514,71.746,0.0
Delta-EF1/ZFH-1 C2H2-type zinc-finger family,5,1,78.43,78.388,1.0
SH2B adapter family,3,1,78.331,78.8,0.0
SPT2 family,3,1,78.306,80.417,0.0
TNFR8 family,3,1,78.054,80.248,0.0
Adenomatous polyposis coli (APC) family,6,2,78.003,77.052,0.0
CKAP2 family,7,2,77.918,73.223,0.0
SMN family,4,1,77.911,77.939,0.0
HDGF family,10,3,77.535,81.09,0.0
Enhancer of polycomb family,3,1,77.491,77.103,0.0
Sal C2H2-type zinc-finger protein family,4,1,77.491,77.439,1.0
MiT/TFE family,16,2,77.345,73.23,1.0
PRDM16 family,4,1,77.312,76.189,1.0
PPP4R2 family,3,1,77.222,73.897,0.0
ATG37 family,4,1,77.204,77.838,0.0
UTP14 family,3,1,77.114,75.399,0.0
Tango11 family,5,1,76.955,78.424,0.0
BZIP family,92,15,76.759,72.758,0.967
PCM1 family,5,1,76.689,75.856,0.0
GRINL1 family,3,1,76.584,74.983,0.0
ARL6IP4 family,10,1,76.28,77.014,0.0
CNST family,3,1,76.276,73.754,0.0
SCHIP1 family,4,1,76.162,76.033,0.0
BBP/SF1 family,7,1,76.02,72.167,0.0
FAM89 family,4,1,75.997,77.196,0.0
Epsin family,10,3,75.986,76.982,0.0
Nup35 family,3,1,75.728,71.471,0.0
SOGA family,4,1,75.521,76.325,0.0
SPMIP6 family,5,1,75.191,55.038,0.0
TMEM71 family,3,1,75.0,73.956,0.0
GLI C2H2-type zinc-finger protein family,16,4,74.815,70.618,1.0
SKA3 family,3,1,74.757,82.737,0.0
FAM47 family,3,1,74.644,67.608,0.0
Xin family,11,2,74.302,76.609,0.0
IRF2BP family,3,1,74.081,65.164,0.0
Podoplanin family,6,1,74.058,67.096,0.0
POU transcription factor family,17,4,73.876,74.744,1.0
SRCIN1 family,3,1,73.32,65.442,0.0
NBPF family,5,1,73.302,73.973,0.0
Nav/unc-53 family,23,3,73.04,69.296,0.0
Smoothelin family,4,1,72.98,72.721,0.0
Multiplexin collagen family,3,1,72.976,74.307,0.0
SHANK family,7,2,72.883,74.531,0.0
BCL7 family,4,1,72.841,77.972,0.0
RRM DAZ family,8,2,72.769,75.823,0.0
RRM RBM42 family,4,1,72.697,73.048,0.0
ENTREP family,7,2,72.646,71.56,0.0
RNF12 family,3,1,72.644,73.58,0.0
Shisa family,11,3,72.2,71.083,0.0
Aggrecan/versican proteoglycan family,9,2,72.03,66.8,0.0
Caprin family,12,2,71.916,71.489,0.0
DMRT family,6,2,71.711,72.943,1.0
EGR C2H2-type zinc-finger protein family,8,1,71.522,68.97,1.0
Msl-1 family,3,1,71.498,76.65,0.0
ARID5B family,3,1,71.465,61.21,1.0
CCDC181 family,3,1,71.26,76.088,0.0
NASP family,4,1,71.231,67.513,0.0
TACC family,16,2,71.212,62.88,0.0
ZNRF3 family,4,1,71.21,70.32,0.0
CAMSAP1 family,6,2,71.202,72.964,0.0
RRM CPSF6/7 family,6,2,71.183,71.823,0.0
AKAP95 family,3,1,70.962,75.25,1.0
CHAF1A family,3,1,70.628,69.8,0.0
RNA polymerase II subunit 5-mediating protein family,4,1,70.485,71.159,0.0
PBTF family,3,1,70.42,70.738,1.0
GCF family,8,2,70.242,68.047,0.0
Ena/VASP family,8,2,70.106,68.627,0.0
Mediator complex subunit 8 family,3,1,69.767,78.355,0.0
MTSS family,4,1,69.617,77.0,0.0
GOLGA6 family,3,1,69.538,64.891,0.0
HNF1 homeobox family,12,2,69.361,67.587,1.0
DACH/dachshund family,8,2,68.999,69.346,1.0
RENT3 family,3,1,68.849,77.711,0.0
RRM NELF-E family,3,1,68.684,67.978,0.0
PX domain-containing GAP family,7,2,68.454,58.556,0.0
FAM13 family,13,3,68.231,73.97,0.0
WD repeat AMBRA1 family,6,1,67.973,68.468,0.0
Glycophorin-C family,3,1,67.89,68.135,0.0
PAR3 family,17,2,67.846,66.015,0.0
MDM2/MDM4 family,16,2,67.554,60.364,0.0
SnRNP SmB/SmN family,3,1,67.5,68.915,0.0
COLQ family,8,1,67.438,78.846,0.0
Odd C2H2-type zinc-finger protein family,3,1,67.436,63.95,1.0
TPD52 family,23,4,67.429,61.833,0.0
Angiomotin family,4,1,67.415,67.429,0.0
Paired homeobox family,28,6,67.331,67.92,1.0
Neuregulin family,23,3,66.824,62.671,0.0
BANP/SMAR1 family,7,1,66.738,65.842,0.0
BET family,12,3,66.654,68.531,0.0
DNAAF1 family,3,1,66.621,64.19,0.0
NUP58 family,3,1,66.44,64.435,0.0
ZC3H14 family,10,1,66.384,56.275,0.0
LAP (LRR and PDZ) protein family,15,3,66.324,59.524,0.0
IWS1 family,3,1,65.686,65.939,0.0
CEP43 family,3,1,65.664,76.505,0.0
NSG family,3,1,65.438,76.382,0.0
KHDC4 family,4,1,65.401,63.718,0.0
Milton family,3,1,65.306,61.341,0.0
EAF6 family,4,1,65.275,65.659,0.0
Lin-54 family,8,2,65.265,62.785,0.625
NFYC/HAP5 subunit family,7,1,65.254,66.877,1.0
IFT43 family,4,1,65.246,71.926,0.0
ATOS family,6,2,65.102,60.13,0.0
CAS family,17,4,65.051,64.122,0.0
Endosulfine family,9,1,64.964,74.287,0.0
TAF1 family,15,1,64.868,64.679,0.0
LZTS family,7,1,64.804,73.516,0.0
SH3PXD2 family,3,1,64.784,65.447,0.0
NRF1/Ewg family,4,1,64.647,63.406,1.0
XPF family,3,1,64.484,43.355,0.0
RRM HNRPC family,7,2,64.4,61.058,0.0
Eutherian X-chromosome-specific Armcx family,3,1,64.368,70.625,0.0
SPAG11 family,9,2,63.717,66.806,0.0
NSMF family,6,1,63.682,69.336,0.0
SPACA6 family,3,1,63.507,44.077,0.0
MRAP family,4,1,63.187,65.907,0.0
SPT20 family,3,1,63.009,62.383,0.0
SPATA6 family,3,1,62.5,45.085,0.0
TALE/MEIS homeobox family,11,2,62.418,61.663,1.0
SPATS2 family,4,1,62.411,61.809,0.0
MAX family,6,1,62.376,71.171,1.0
NFRKB family,3,1,62.327,62.482,0.0
Glycosyltransferase 28 family,4,1,62.235,47.968,0.0
FNIP family,3,1,61.951,58.694,0.0
Mitochondrion-specific ribosomal protein mL52 family,4,1,61.767,55.566,0.0
NICOL family,3,1,61.719,57.945,0.0
Endothelin/sarafotoxin family,3,1,61.644,55.676,0.0
KHDRBS family,3,1,61.625,62.923,0.0
Shugoshin family,10,2,61.455,63.154,0.0
Requiem/DPF family,8,2,61.264,61.141,1.0
Ikaros C2H2-type zinc-finger protein family,32,3,60.952,61.774,1.0
Parathyroid hormone family,3,1,60.452,62.32,0.0
JHDM2 histone demethylase family,6,2,60.393,62.413,0.0
BRAG family,6,2,60.34,67.401,0.0
SPAG8 family,3,1,60.329,57.769,0.0
Bcl-2 family,43,7,60.194,61.101,0.0
EEIG family,3,1,60.156,72.935,0.0
AEBP2/jing C2H2-type zinc-finger family,3,1,60.155,54.659,1.0
Eukaryotic initiation factor 4G family,12,2,60.126,62.293,0.0
EIF-3 subunit J family,3,1,60.078,62.9,0.0
POC5 family,3,1,60.0,55.142,0.0
DAXX family,5,1,59.859,59.717,0.0
Motilin family,9,2,59.829,73.508,0.0
CTF/NF-I family,21,4,59.783,58.858,1.0
WAL family,8,2,59.686,58.875,1.0
MTCL family,4,1,59.592,63.664,0.0
HAUS6 family,3,1,59.581,50.012,0.0
SHFL family,4,1,59.387,57.109,0.0
TMEM134/TMEM230 family,3,1,59.375,59.136,0.0
CEP85 family,9,2,59.255,56.438,0.0
Nucleoporin GLFG family,6,1,59.073,62.917,0.0
CAMTA family,10,2,58.958,66.412,1.0
CNOT2/3/5 family,5,1,58.776,47.592,0.0
GORASP family,6,2,58.638,51.589,0.0
Paxillin family,4,1,58.5,55.365,0.0
FAM161 family,3,1,58.485,56.973,0.0
GOLGA8 family,6,2,58.473,63.196,0.0
TOR1AIP family,4,1,58.355,59.905,0.0
ZXD family,3,1,58.169,58.628,1.0
Folate receptor family,3,1,58.159,58.726,0.0
RRM Spen family,4,1,58.12,58.137,0.0
DONSON family,3,1,58.113,50.129,0.0
SMAUG family,3,1,58.078,62.373,0.0
VWA-containing collagen family,3,1,57.778,56.469,0.0
MPI phosphatase family,8,2,57.397,56.2,0.0
ASPP family,3,1,57.358,57.917,0.0
Fibril-associated collagens with interrupted helices (FACIT) family,15,5,57.338,51.332,0.0
WAPL family,3,1,57.131,57.225,0.0
ZNF598/HEL2 family,4,1,56.936,67.642,0.0
Troponin T family,22,3,56.718,55.857,0.0
TGF-beta family,8,2,56.655,69.319,0.0
TMEM237 family,5,1,56.618,54.524,0.0
NAB family,3,1,56.616,56.134,0.0
WWC family,7,1,56.332,54.813,0.0
Calponin family,3,1,56.25,54.395,0.0
CNKSR family,7,2,56.062,55.118,0.0
CENP-U/AME1 family,3,1,55.981,41.608,0.0
CC2D1 family,5,1,55.634,49.458,0.0
CUT homeobox family,7,1,55.625,49.604,1.0
JADE family,6,2,55.605,46.597,0.0
SFR1/MEI5 family,3,1,55.603,52.404,0.0
PTEN phosphatase protein family,15,4,55.564,40.652,0.0
Insulin family,7,2,55.556,55.987,0.0
FXYD family,5,1,55.556,59.175,0.0
ENTR1 family,4,1,55.553,55.633,0.0
ATPase C chain family,3,1,55.414,56.3,0.0
CD164 family,5,1,55.33,59.858,0.0
Lipin family,7,1,55.043,57.604,0.0
Myotilin/palladin family,9,1,54.973,50.083,0.0
CCPG1 family,5,1,54.954,55.529,0.0
Histone deacetylase family,34,5,54.926,43.211,0.0
CBFA2T family,15,3,54.797,56.535,0.0
MRL family,9,1,54.766,56.908,0.0
CTCF zinc-finger protein family,11,1,54.751,45.38,1.0
ANP32 family,3,1,54.626,51.592,0.0
ELYS family,3,1,54.593,54.62,1.0
Lunapark family,4,1,54.591,60.087,0.0
OCIAD1 family,4,1,54.583,56.987,0.0
RIMBP family,6,2,54.538,49.209,0.0
OXR1 family,15,2,54.47,43.894,0.0
Isthmin family,5,1,54.466,69.22,0.0
FAM32 family,3,1,54.464,55.128,0.0
TASOR family,4,1,54.39,54.921,0.0
CCDC80 family,3,1,54.318,69.369,0.0
MVB12 family,3,1,54.086,41.33,0.0
Apolipoprotein L family,9,3,54.079,44.54,0.0
DMTF1 family,5,1,54.044,55.351,1.0
SMARCC family,3,1,53.993,54.421,0.0
HAUS8 family,3,1,53.545,50.921,0.0
ABI family,16,2,53.251,54.208,0.0
OS-9 family,8,1,53.061,54.205,0.0
TMEM131 family,5,1,53.043,55.466,0.0
DNA repair metallo-beta-lactamase (DRMBL) family,4,1,52.902,45.326,0.0
RRM CPEB family,15,3,52.847,52.148,0.267
ARS2 family,5,1,52.8,53.212,0.0
PACS family,3,1,52.756,52.569,0.0
GOLM family,4,1,52.718,41.058,0.0
AP-2 family,4,1,52.642,53.971,1.0
ETS family,47,10,52.632,50.368,1.0
Chloride channel MCLC family,4,1,52.607,54.383,0.0
VOPP1/ECOP family,4,1,52.416,52.917,0.0
FAM124 family,3,1,52.405,40.973,0.0
Villin/gelsolin family,15,4,52.237,38.217,0.0
JIP scaffold family,10,2,52.213,55.092,0.0
MFAP family,3,1,52.198,49.265,0.0
Prickle / espinas / testin family,3,1,52.035,50.972,0.0
FAM135 family,8,2,51.951,52.389,0.0
Shootin family,8,1,51.865,55.17,0.0
E2F/DP family,17,4,51.862,49.338,1.0
CAVIN family,3,1,51.795,49.396,0.0
Alpha-casein family,4,1,51.761,51.661,0.0
FKBP-type PPIase family,3,1,51.696,51.978,0.0
LARP family,9,1,51.613,51.615,0.0
SCC2/Nipped-B family,3,1,51.576,67.085,0.0
SREBP family,6,1,51.553,61.297,1.0
PROTOR family,9,2,51.536,53.823,0.0
TOM1 family,12,3,51.368,52.196,0.0
TAF7 family,3,1,51.33,52.416,0.0
Peptidase C48 family,5,1,51.321,45.342,0.0
Nucleosome assembly protein (NAP) family,7,2,51.119,41.516,0.0
TIAM family,5,1,50.636,47.219,0.0
Synaptotagmin family,21,4,50.602,52.045,0.0
DOK family,7,2,50.403,43.292,0.0
PICALM/SNAP91 family,9,2,50.388,48.538,0.0
HAD-like hydrolase superfamily,26,7,50.117,36.993,0.0
SEC2 family,8,1,50.104,51.801,0.0
Splicing factor SR family,50,14,50.058,48.399,0.0
Inositol phosphokinase (IPK) family,6,1,50.0,50.0,0.0
PA-phosphatase related phosphoesterase family,19,5,49.913,41.804,0.0
Muscleblind family,15,3,49.485,52.467,0.2
RIPOR family,4,1,49.47,49.51,0.0
ANKLE2 family,3,1,49.467,55.134,0.0
Class V-like SAM-binding methyltransferase superfamily,98,24,49.46,49.926,0.398
Mediator complex subunit 25 family,7,2,49.433,43.044,0.0
EXD1 family,3,1,49.416,62.393,0.0
IST1 family,6,1,49.412,53.433,0.0
CoREST family,4,1,49.389,52.702,0.0
TEX28 family,4,1,49.332,49.973,0.0
CND2 H2 (condensin-2 subunit 2) family,4,1,49.298,53.455,0.0
Kazrin family,5,1,49.169,50.468,0.0
TSC-22/Dip/Bun family,8,2,49.168,60.193,0.625
P53 family,33,3,49.153,49.148,1.0
PAT1 family,4,1,49.142,48.985,0.0
Beta-catenin family,32,1,49.055,43.173,0.0
Cytospin-A family,5,1,49.037,48.5,0.0
EFCAB4 family,3,1,48.98,51.206,0.0
Cytochrome b5 family,3,1,48.98,37.471,0.0
CEP131 family,3,1,48.846,49.311,0.0
LARP7 family,3,1,48.797,38.597,0.0
CD300 family,15,3,48.77,52.55,0.0
XPC family,3,1,48.617,65.08,0.0
TMEM255 family,4,1,48.611,47.875,0.0
Peptidase C85 family,5,1,48.485,53.33,0.0
Lst-2 family,8,1,48.35,32.086,0.0
PRPF40 family,8,2,48.315,61.222,0.0
ABP1 family,6,1,48.138,50.513,0.0
Flagellar radial spoke RSP4/6 family,3,1,48.045,51.428,0.0
FAM178 family,6,2,47.948,51.669,0.0
TALE/PBX homeobox family,8,2,47.859,43.092,1.0
POTE family,6,2,47.65,46.346,0.0
TAF8 family,3,1,47.588,48.336,0.0
SKI family,8,2,47.483,53.395,1.0
Spire family,9,2,47.428,47.37,0.0
Stoned B family,3,1,47.401,45.69,0.0
CWF19 family,6,2,47.379,43.373,0.0
ELL/occludin family,10,2,47.334,57.652,0.0
TFIIB family,9,1,47.231,41.674,0.0
ZSWIM8 family,5,1,46.931,48.58,0.0
