family,n_iso,n_genes,median_idr,mean_idr,tf_frac
Dystrophin family,24,2,38.363,40.406,0.0
RANBP9/10 family,6,2,38.298,37.773,0.0
Activator 1 small subunits family,3,1,38.154,36.69,0.0
FMR1 family,14,2,38.048,35.756,0.0
Peroxisomal targeting signal receptor family,12,2,37.939,35.315,0.0
Intermediate filament family,36,9,37.844,41.851,0.0
GAS2 family,4,1,37.812,41.819,0.0
RILPL family,3,1,37.717,36.411,0.0
MINDY deubiquitinase family,4,1,37.679,38.163,0.0
CHCHD7 family,5,1,37.647,32.981,0.0
Unkempt family,6,1,37.642,37.987,0.0
RAD23 family,3,1,37.569,37.333,0.0
FCHO family,6,2,37.535,35.672,0.0
IML1 family,8,1,37.448,37.562,0.0
CLASP family,8,2,37.43,39.056,0.0
CARMIL family,7,2,37.33,37.749,0.0
Calcium channel alpha-1 subunit (TC 1.A.1.11) family,98,8,37.267,39.046,0.0
ERCC1/RAD10/SWI10 family,4,1,37.259,33.152,0.0
RMD1/sif2 family,3,1,37.194,45.731,0.0
KCTD3 family,3,1,37.178,57.944,0.0
ATG9 family,6,2,37.125,40.333,0.0
Potassium channel family,53,11,37.097,36.424,0.0
EF-1-beta/EF-1-delta family,4,1,37.068,35.615,0.0
Aldolase class II family,15,2,36.968,37.108,0.0
RICTOR family,3,1,36.885,28.922,0.0
CutA family,3,1,36.872,35.788,0.0
Ribonuclease III family,4,1,36.798,36.967,0.0
Sulfotransferase 6 family,4,1,36.761,36.541,0.0
TRM44 family,3,1,36.74,36.101,0.0
Centaurin gamma-like family,9,2,36.686,36.262,0.0
ATRIP family,4,1,36.607,36.472,0.0
Chordin family,5,1,36.571,32.199,0.0
Folliculin family,3,1,36.55,44.9,0.0
Vezatin family,4,1,36.544,43.272,0.0
RNase PH family,4,1,36.542,36.603,0.0
XRCC4-XLF family,3,1,36.527,35.015,0.0
RRM half pint family,6,1,36.446,36.088,0.0
Constitutive coactivator of PPAR-gamma family,8,2,36.412,37.844,0.0
Polycomblike family,7,2,36.232,39.074,1.0
Bacterial ribosomal protein bS18 family,3,1,36.224,41.94,0.0
Frataxin family,3,1,36.224,38.794,0.0
CBP3 family,5,1,36.12,31.656,0.0
ATG2 family,4,1,36.049,38.185,0.0
RUTBC family,7,2,36.048,41.645,0.571
UPF0235 family,3,1,35.948,39.491,0.0
LDB family,6,2,35.921,35.47,0.0
DNAAF3 family,5,1,35.884,45.717,0.0
Quaking family,6,1,35.827,36.75,0.0
PMEL/NMB family,5,1,35.778,34.977,0.0
Mediator complex subunit 6 family,3,1,35.573,23.917,0.0
CCDC40 family,5,1,35.437,36.527,0.0
TRM6/GCD10 family,4,1,35.322,35.979,0.0
TRNA-intron endonuclease family,5,1,35.308,34.02,0.0
Peptidase S1C family,4,1,35.232,35.325,0.0
OSBP family,36,7,35.227,36.584,0.0
Nephronectin family,6,1,35.073,34.86,0.0
Crooked-neck family,5,1,35.024,57.671,0.0
SBNO family,4,1,35.009,36.246,0.0
USE1 family,3,1,34.815,32.926,0.0
Astrotactin family,8,2,34.729,30.227,0.0
LTBP family,9,2,34.72,31.285,0.0
PtdIns transfer protein family,9,3,34.702,24.259,0.0
PA-PLA1 family,4,1,34.684,32.421,0.0
BABAM1 family,3,1,34.65,52.673,0.0
ACDP family,6,2,34.609,36.029,0.0
OFD1 family,3,1,34.585,23.462,0.0
COLEC10/COLEC11 family,10,1,34.553,32.966,0.0
Inositol 1,10,3,34.534,28.309,0.0
Papilin family,6,1,34.421,39.206,0.0
GGA protein family,10,2,34.258,35.514,0.0
WD repeat CDC20/Fizzy family,8,2,34.191,41.994,0.0
TMEM132 family,7,2,34.18,29.93,0.0
POTE family; Actin family,3,1,34.043,36.223,0.0
HSF family,3,1,33.99,39.288,1.0
Histone H2B family,3,1,33.987,35.665,0.0
Ced-6 family,4,1,33.922,30.269,0.0
SIN1 family,6,1,33.862,30.451,0.0
FNBP1 family,15,3,33.757,35.186,0.0
UPF0585 family,6,1,33.744,28.902,0.0
ADIP family,3,1,33.731,34.201,0.0
ECD family,3,1,33.696,33.896,0.0
Mediator complex subunit 12 family,7,2,33.675,34.049,0.0
Metastasis-associated protein family,3,1,33.566,24.636,0.0
PDGF/VEGF growth factor family,25,3,33.493,40.165,0.0
Grh/CP2 family,12,3,33.47,36.636,1.0
GDNFR family,6,2,33.43,29.705,0.0
CLEC16A/gop-1 family,3,1,33.333,51.95,0.0
Semaphorin family,18,4,33.292,31.398,0.0
Chemokine-like factor family,31,4,33.184,45.393,0.0
EMC4 family,3,1,33.088,34.569,0.0
LAS1 family,4,1,33.085,34.153,0.0
WD repeat NOL10/ENP2 family,4,1,32.974,25.186,0.0
ODA1/DCC2 family,3,1,32.836,32.288,0.0
Caveolin family,3,1,32.716,32.578,0.0
Calcium channel flower family,4,1,32.71,34.343,0.0
RING-box family,4,1,32.646,34.997,0.0
MAGUK family,54,11,32.577,29.08,0.0
DNA mismatch repair MutL/HexB family,11,3,32.511,26.842,0.0
RPAP3 family,3,1,32.488,31.264,0.0
Schlafen family,4,1,32.471,34.711,0.0
Spindly family,3,1,32.448,31.502,0.0
VHL family,3,1,32.394,24.364,0.0
Ephrin family,3,1,32.338,32.242,0.0
Lin-9 family,3,1,32.288,31.204,0.0
VPS37 family,3,1,32.242,33.98,0.0
Peptidyl-alpha-hydroxyglycine alpha-amidating lyase family; Copper type II ascorbate-dependent monooxygenase family,6,1,32.215,31.855,0.0
Inturned family,4,1,32.212,32.461,0.0
Dynein intermediate chain family,11,2,32.166,31.932,0.0
MYST (SAS/MOZ) family,12,3,32.029,40.878,0.417
PC-esterase family,4,1,31.894,26.059,0.0
ACTMAP family,3,1,31.844,50.69,0.0
Cyclin family,42,12,31.839,35.445,0.0
HIBADH-related family,5,1,31.826,30.565,1.0
TMCO1 family,3,1,31.799,25.838,0.0
Glutamine synthetase family,3,1,31.731,48.429,0.0
Seipin family,3,1,31.658,26.801,0.0
Peptidase A22A family,10,2,31.612,30.215,0.0
IRF family,15,3,31.412,29.008,1.0
RUNDC3 family,9,2,31.36,31.982,0.0
WD repeat SEC31 family,15,2,31.329,25.537,0.0
Reduced folate carrier (RFC) transporter (TC 2.A.48) family,3,1,31.303,27.874,0.0
NDK family,7,2,31.212,23.126,0.0
Leukocyte receptor complex/polymeric immunoglobulin receptor (PIR/LRC) family,7,1,31.119,23.447,0.0
DIP2 family,6,1,31.069,30.758,0.0
UPRTase family,3,1,31.068,32.704,0.0
Class IV-like SAM-binding methyltransferase superfamily,5,1,31.013,28.336,0.0
Nuclear hormone receptor family,132,26,30.997,33.626,1.0
SAYP family,3,1,30.924,27.235,0.0
Intercrine beta (chemokine CC) family,13,2,30.882,34.728,0.0
Peroxiredoxin family,4,1,30.844,26.422,0.0
RPGRIP1 family,6,1,30.82,31.068,0.0
FAM3 family,6,2,30.801,27.417,0.0
2H phosphoesterase superfamily,3,1,30.769,40.425,0.0
GRB7/10/14 family,8,2,30.678,27.809,0.0
SEZ6 family,17,3,30.655,30.72,0.0
SNF7 family,4,1,30.62,37.144,0.0
Helicase family,26,6,30.475,33.596,0.0
ATP-dependent DNA ligase family,7,2,30.453,28.105,0.0
MTUS1 family,10,2,30.452,44.584,0.0
Unc-79 family,3,1,30.335,30.961,0.0
RRF family,8,1,30.332,27.053,0.0
GTP cyclohydrolase I family,4,1,30.32,29.755,0.0
Smac/DIABLO protein family,3,1,30.256,26.959,0.0
TVP38/TMEM64 family,4,1,30.054,30.659,0.0
JHDM3 histone demethylase family,4,1,30.032,29.301,0.0
COQ10 family,3,1,30.0,30.908,0.0
PRP31 family,4,1,29.982,27.75,0.0
CPSF4/YTH1 family,3,1,29.918,32.117,0.0
NTE family,9,2,29.917,31.679,0.0
WD repeat WDR90/POC16 family,5,1,29.889,24.739,0.0
Type II topoisomerase family,4,1,29.866,29.785,0.0
Kinesin light chain family,18,3,29.75,32.704,0.0
FPG family,4,1,29.74,24.433,0.0
ING family,16,3,29.668,31.613,0.0
Perilipin family,4,1,29.585,22.396,0.0
Tubulin--tyrosine ligase family,13,4,29.447,36.558,0.0
Formin homology family,33,9,29.422,37.887,0.0
WD repeat WDR91 family,3,1,29.403,32.071,0.0
Voltage-gated proton channel (VPC) (TC 1.A.51) family,4,1,29.373,29.564,0.0
Eukaryotic RPC9 RNA polymerase subunit family,4,1,29.309,44.047,0.0
WD repeat WDR59 family,4,1,29.284,27.917,0.0
Dynactin subunit 2 family,3,1,29.28,28.601,0.0
Glycosyl hydrolase 33 family,3,1,29.234,28.14,0.0
Replication factor A protein 2 family,3,1,29.137,33.808,0.0
AAA ATPase family; Peptidase M41 family,3,1,29.05,29.634,0.0
SMARCD family,3,1,29.02,28.639,0.0
5'-3' exonuclease family,3,1,28.926,21.048,0.0
Polyadenylate-binding protein type-1 family,3,1,28.882,28.968,0.0
Universal ribosomal protein uS11 family,3,1,28.866,30.715,0.0
Maelstrom family,3,1,28.802,50.544,0.0
Sodium channel (TC 1.A.1.10) family,25,6,28.729,28.008,0.0
UPF0359 family,3,1,28.686,23.402,0.0
SUFU family,3,1,28.637,28.757,0.0
ELP5 family,4,1,28.527,25.418,0.0
Band 7/mec-2 family,9,2,28.463,19.395,0.0
Phosducin family,3,1,28.455,22.088,0.0
Plakin or cytolinker family,17,3,28.392,25.343,0.0
Dwarfin/SMAD family,10,3,28.3,32.499,0.4
Peptidase MATCAP family,3,1,28.238,27.72,0.0
Glycosyltransferase 8 family,12,3,28.196,21.645,0.0
MID49/MID51 family,3,1,28.172,51.535,0.0
KCNMB (TC 8.A.14.1) family,5,1,28.159,27.353,0.0
CFAP337 family,3,1,28.121,28.847,0.0
Cyclic nucleotide-gated cation channel (TC 1.A.1.5) family,7,2,28.08,47.844,0.0
PAF1 family,3,1,28.041,29.573,0.0
GPR137 family,5,1,28.035,23.989,0.0
CorA metal ion transporter (MIT) (TC 1.A.35) family,4,1,28.008,36.795,0.0
MRE11/RAD32 family,3,1,27.989,27.081,0.0
Myelin P0 protein family,8,2,27.933,32.502,0.0
EIF-2B alpha/beta/delta subunits family,3,1,27.916,28.755,0.0
Rad17/RAD24 family,4,1,27.871,27.253,0.0
Anion exchanger (TC 2.A.31) family,54,9,27.869,29.158,0.0
SCC3 family,3,1,27.763,28.58,0.0
CREC family,21,2,27.723,30.551,0.0
TFII-I family,14,3,27.714,25.064,1.0
Dus family,3,1,27.692,24.036,0.0
BRE1 family,3,1,27.685,26.41,0.0
RRP12 family,3,1,27.67,27.697,0.0
PIEZO (TC 1.A.75) family,4,1,27.387,24.071,0.0
STK19 family,4,1,27.331,27.387,0.0
MTURN family,4,1,27.138,23.014,0.0
D-isomer specific 2-hydroxyacid dehydrogenase family,3,1,27.096,32.583,0.0
Exonuclease superfamily,3,1,26.974,33.324,0.0
MYZAP family,11,1,26.966,27.726,0.0
EVA1 family,3,1,26.941,51.233,0.0
BicD family,4,1,26.896,22.448,0.0
VPRBP/DCAF1 family,3,1,26.808,26.448,0.0
Integrator subunit 6 family,3,1,26.773,20.499,0.0
GSG1 family,12,2,26.724,25.707,0.0
YIF1 family,6,1,26.718,28.181,0.0
Eukaryotic/archaeal RNase P protein component 4 family,4,1,26.715,25.298,0.0
Calycin superfamily,13,4,26.712,31.646,0.0
Peptidase S54 family,6,2,26.707,28.014,0.0
NOP16 family,3,1,26.695,36.197,0.0
GREB1 family,7,2,26.68,32.696,0.0
MON1/SAND family,5,1,26.667,23.704,0.0
EPO/TPO family,3,1,26.361,27.453,0.0
MICOS complex subunit Mic60 family,4,1,26.327,26.262,0.0
RPAP1 family,3,1,26.131,17.937,0.0
Nitroreductase family,6,1,26.004,23.657,0.0
MAP65/ASE1 family,4,1,25.988,25.149,0.0
Phospholipid scramblase family,3,1,25.939,17.625,0.0
BACURD family,3,1,25.862,27.037,0.0
STRIP family,4,1,25.772,24.849,0.0
IL-10 family,7,2,25.604,35.086,0.0
BCP1 family,4,1,25.583,27.01,0.0
ATR family,10,2,25.563,26.795,0.0
2-oxoacid dehydrogenase family,3,1,25.549,26.982,0.0
CALCOCO family,9,2,25.495,25.025,0.0
ZP domain family,3,1,25.469,25.968,0.0
Dynactin 150 kDa subunit family,6,1,25.465,25.68,0.0
COP1 family,5,1,25.457,35.189,0.0
ERICH6 family,3,1,25.443,21.853,0.0
Sodium channel auxiliary subunit SCN4B (TC 8.A.17) family,3,1,25.439,27.592,0.0
TMEM70 family,3,1,25.385,29.645,0.0
Mical family,16,3,25.382,29.457,0.0
Eukaryotic ribosomal protein eS24 family,4,1,25.282,28.291,0.0
RRN3 family,4,1,25.226,24.036,0.0
Peptidase M14 family,22,7,25.126,29.324,0.0
Peptidase M24A family,3,1,25.105,24.778,0.0
SFI1 family,7,1,25.04,24.25,0.0
Beta-defensin family,3,1,25.0,41.667,0.0
SVAP1 family,4,1,24.933,27.963,0.0
Synaptojanin family; Inositol 1,7,2,24.867,25.293,0.0
Protein kinase superfamily,921,203,24.699,28.7,0.0
TDRD7 family,3,1,24.681,21.604,0.0
LU7TM family,6,2,24.667,25.063,0.0
Ligand-gated ion channel (TC 1.A.9) family,40,11,24.586,26.586,0.0
Glycosyl hydrolase 84 family,4,1,24.534,25.635,0.0
CAP family,3,1,24.528,17.296,0.0
FAD-binding oxidoreductase/transferase type 4 family,3,1,24.43,19.533,0.0
Adenosylhomocysteinase family,4,1,24.416,24.394,0.0
Amiloride-sensitive sodium channel (TC 1.A.6) family,19,5,24.408,24.576,0.0
PDK/BCKDK protein kinase family,3,1,24.384,21.738,0.0
Arg-specific ADP-ribosyltransferase family,3,1,24.339,23.514,0.0
WD repeat coronin family,7,2,24.046,16.188,0.0
SMEK family,9,2,24.01,22.582,0.0
UPF0696 family,3,1,23.973,20.033,0.0
RIC1 family,3,1,23.963,19.97,0.0
RRM NCBP2 family,3,1,23.913,26.783,0.0
MEGF family,4,1,23.897,41.063,0.0
Peptidase C19 family,86,22,23.845,29.967,0.0
Glypican family,3,1,23.793,24.107,0.0
Heparin-binding growth factors family,13,3,23.77,28.803,0.0
NIPA family,3,1,23.765,19.984,0.0
ZIP transporter (TC 2.A.5) family,14,4,23.757,25.54,0.0
SLA2 family,3,1,23.722,22.472,0.0
Deltex family,3,1,23.714,22.283,0.0
CNOT10 family,6,1,23.68,23.657,0.0
Universal ribosomal protein uL22 family,6,2,23.636,21.728,0.0
Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family,11,3,23.516,30.698,0.0
TIM50 family,3,1,23.513,21.507,0.0
GARNL3 family,5,1,23.512,29.451,0.0
CLPTM1 family,3,1,23.511,20.617,0.0
LDLR family,14,3,23.448,24.727,0.0
RRM elav family,6,1,23.431,23.413,0.0
LAMP family,6,2,23.42,26.162,0.0
TMEM95 family,3,1,23.37,28.982,0.0
Extended synaptotagmin family,5,1,23.248,26.537,0.0
Homer family,8,2,23.231,17.381,0.0
VMO1 family,4,1,23.22,23.756,0.0
SMG8 family,3,1,23.167,22.44,0.0
Cappuccino family,3,1,23.153,22.164,0.0
Kinectin family,4,1,23.152,23.079,0.0
TOG/XMAP215 family,3,1,23.149,23.388,0.0
Glycoside-pentoside-hexuronide (GPH) cation symporter transporter (TC 2.A.2) family,7,2,23.142,28.421,0.0
TOP6B-like family,4,1,23.138,23.005,0.0
Complex I NDUFB8 subunit family,3,1,23.118,20.771,0.0
WD repeat WDR81 family,6,1,23.027,22.519,0.0
Ubiquitin conjugation factor E4 family,4,1,23.019,21.533,0.0
NifU family,3,1,23.009,23.162,0.0
MICU1 family,6,1,22.965,16.056,0.0
RASGRP family,17,3,22.835,19.483,0.0
JARID1 histone demethylase family,8,2,22.735,24.287,0.0
TDRD1 family,4,1,22.71,18.806,0.0
CIDE family,4,1,22.635,36.317,0.0
Sulfatase-modifying factor family,10,2,22.617,23.442,0.0
Reverse transcriptase family,4,1,22.516,22.347,0.0
Vir family,4,1,22.484,23.389,0.0
TMC family,14,4,22.314,22.323,0.0
Nucleobase:cation symporter-2 (NCS2) (TC 2.A.40) family,6,2,22.314,19.187,0.0
RMDN family,7,2,22.183,23.741,0.0
SLC3A transporter family,4,1,22.153,20.576,0.0
Battenin family,7,1,22.09,27.498,0.0
TERB1 family,3,1,22.047,23.001,1.0
Endonuclease V family,7,1,22.006,42.94,0.0
FAM76 family,8,2,21.974,24.784,0.0
FNDC3 family,3,1,21.927,21.299,0.0
CNF-like-inhibitor family,4,1,21.907,25.814,0.0
TMEM41 family,3,1,21.875,23.503,0.0
PCDP1 family,4,1,21.854,22.511,0.0
Glutaminase family,3,1,21.824,47.576,0.0
BBS4 family,3,1,21.822,21.831,0.0
CTU2/NCS2 family,3,1,21.748,23.629,0.0
GPN-loop GTPase family,8,2,21.745,19.871,0.0
Lipid transport auxiliary protein 1 family,5,1,21.739,14.744,0.0
CSTPP1 family,4,1,21.71,18.436,0.0
KptA/TPT1 family,4,1,21.654,20.515,0.0
Uridine kinase family,8,2,21.646,23.239,0.0
Synaptobrevin family,9,3,21.6,19.695,0.0
Eukaryotic diacylglycerol kinase family,17,4,21.545,17.487,0.0
Pellino family,4,1,21.485,26.155,0.0
Universal ribosomal protein uL11 family,3,1,21.354,14.853,0.0
PDS5 family,5,1,21.352,29.149,0.0
DNA glycosylase MPG family,4,1,21.331,20.73,0.0
FAD-dependent oxidoreductase family,9,2,21.296,28.257,0.0
Parvin family,8,2,21.287,38.852,0.0
Transcription factor STAT family,6,2,21.281,21.62,1.0
CCR4/nocturin family,3,1,21.271,18.633,0.0
Repulsive guidance molecule (RGM) family,6,2,21.237,21.46,0.0
STEEP1 family,3,1,21.171,21.655,0.0
RAB6IP1 family,4,1,21.163,19.659,0.0
SYCE family,3,1,21.053,21.907,0.0
Type VI collagen family,8,2,21.004,23.689,0.0
PPase family,5,1,20.984,23.253,0.0
RNF8 family,3,1,20.982,14.142,0.0
ITM2 family,3,1,20.974,20.259,0.0
Apyrase family,3,1,20.948,19.636,0.0
Neurexin family,12,3,20.796,36.495,0.0
RNR ribonuclease family,9,2,20.791,27.068,0.0
MS4A family,21,6,20.787,32.916,0.0
TDD superfamily,3,1,20.724,20.837,0.0
Nth/MutY family,9,2,20.709,21.459,0.0
Mitochondrion-specific ribosomal protein mS25 family,3,1,20.69,40.23,0.0
CFAP74 family,3,1,20.682,23.512,0.0
Type I cytokine receptor family,79,16,20.64,26.21,0.0
Glycosyltransferase 18 family,3,1,20.633,20.937,0.0
Monovalent cation:proton antiporter 2 (CPA2) transporter (TC 2.A.37) family,3,1,20.611,20.405,0.0
NCF2/NOXA1 family,7,2,20.582,22.552,0.0
FAST protein kinase family,4,1,20.555,19.382,0.0
SAP30 family,3,1,20.423,18.72,0.0
CDP-alcohol phosphatidyltransferase class-II family,4,1,20.366,39.32,0.0
Glycosyl hydrolase 99 family,3,1,20.35,19.183,0.0
Sorting nexin family,30,9,20.284,24.954,0.0
RBR family,21,5,20.273,24.542,0.143
Folylpolyglutamate synthase family,4,1,20.241,21.328,0.0
Nesprin family,28,3,20.166,21.951,0.0
VPS10-related sortilin family,4,1,20.151,20.354,0.0
Protein-tyrosine phosphatase family,192,44,20.085,27.277,0.0
Plexin family,14,4,20.066,25.638,0.0
CitM (TC 2.A.11) transporter family,3,1,20.025,21.292,0.0
TDE1 family,8,2,20.007,20.017,0.0
Universal ribosomal protein uL29 family,3,1,20.0,15.2,0.0
G-protein coupled receptor 1 family,135,25,19.876,22.972,0.0
DPH1/DPH2 family,7,2,19.865,25.085,0.0
Nectin family,23,6,19.807,24.576,0.0
ARB2A family,4,1,19.759,19.027,0.0
GOSR2 family,3,1,19.718,13.239,0.0
Nuclear import and ribosome assembly adapter family,3,1,19.697,19.014,0.0
DOCK family,23,5,19.676,21.568,0.0
DRC10 family,3,1,19.597,18.355,0.0
TAF9 family,3,1,19.565,13.636,1.0
DCK/DGK family,12,2,19.555,24.987,0.0
ELP4 family,3,1,19.538,17.061,0.0
UbiA prenyltransferase family,5,1,19.531,21.188,0.0
SRP19 family,3,1,19.444,20.157,0.0
Cyclic nucleotide phosphodiesterase family,85,14,19.374,24.566,0.0
NDC1 family,6,1,19.298,18.011,0.0
WD repeat PROPPIN family,9,2,19.266,15.279,0.0
Type II cytokine receptor family,17,5,19.231,30.108,0.0
Pseudouridine synthase RluA family,6,1,19.223,27.584,0.0
Glycosyltransferase 31 family,7,2,19.221,17.084,0.0
WD repeat EIF2A family,4,1,19.209,20.855,0.0
PARI family,7,1,19.171,14.458,0.0
Pyridoxamine 5'-phosphate oxidase family,4,1,19.145,38.883,0.0
MCF2 family,19,3,19.135,18.812,0.0
DUOXA family,3,1,19.128,25.677,0.0
Integrator subunit 3 family,4,1,19.11,20.818,0.0
TRAFAC class myosin-kinesin ATPase superfamily,146,34,19.08,20.958,0.0
CDK5RAP3 family,4,1,19.0,22.3,0.0
Heat shock protein 70 family,4,1,18.935,20.034,0.0
TVP23 family,3,1,18.902,29.067,0.0
CD200R family,4,1,18.834,19.495,0.0
Protein disulfide isomerase family,8,2,18.8,20.37,0.0
WD repeat fritz family,3,1,18.767,13.967,0.0
NDRG family,20,4,18.74,18.332,0.0
Tuftelin family,3,1,18.731,20.79,0.0
VPS8 family,3,1,18.724,19.087,0.0
RRM IMP/VICKZ family,6,1,18.662,15.295,0.0
Histone H2A family,8,2,18.661,26.979,0.0
Receptors of complement activation (RCA) family,14,3,18.64,23.555,0.0
Polycystin family,25,5,18.634,20.537,0.0
Ntn-hydrolase family,3,1,18.621,14.889,0.0
Autoinducer-2 exporter (AI-2E) (TC 2.A.86) family,3,1,18.544,17.227,0.0
Ribonucleoside diphosphate reductase small chain family,6,1,18.534,39.511,0.0
UBR4 family,6,1,18.457,17.205,0.0
ELO family,3,1,18.405,43.705,0.0
Small leucine-rich proteoglycan (SLRP) family,13,3,18.4,22.447,0.0
VPS54 family,5,1,18.325,13.934,0.0
EMC6 family,5,1,18.182,20.443,0.0
Themis family,10,2,18.173,16.116,0.0
Synembryn family,8,2,18.12,18.366,0.0
NALCN family,3,1,18.114,18.107,0.0
WD repeat L(2)GL family,6,2,18.107,16.541,0.0
TMEM8 family,3,1,18.008,22.658,0.0
UFL1 family,3,1,17.97,18.824,0.0
SINA (Seven in absentia) family,3,1,17.949,17.492,0.0
Peptidase M10A family,10,3,17.932,22.409,0.0
Hid-1 family,3,1,17.916,24.258,0.0
Ependymin family,3,1,17.857,44.807,0.0
Non-receptor class of the protein-tyrosine phosphatase family; Eukaryotic GTase family,4,1,17.779,17.421,0.0
Organo anion transporter (TC 2.A.60) family,23,6,17.746,18.767,0.0
Claudin family,6,2,17.701,19.785,0.0
DEAD box helicase family,51,14,17.671,23.652,0.0
CFAP65 family,4,1,17.632,22.257,0.0
WD repeat RAPTOR family,3,1,17.603,14.665,0.0
TRAFAC class OBG-HflX-like GTPase superfamily,9,3,17.571,15.348,0.0
NAD kinase family,6,2,17.516,15.96,0.0
NUP54 family,3,1,17.429,14.094,0.0
CEP120 family,3,1,17.343,12.309,0.0
SCAMP family,6,2,17.261,18.893,0.0
MCTP family,10,2,17.23,26.438,0.0
Recoverin family,22,4,17.227,16.929,0.136
CCN family,5,1,17.213,22.917,0.0
Endophilin family,10,3,17.177,19.472,0.0
InsP3 receptor family,8,1,17.142,17.542,0.0
NDUFAF6 family,3,1,17.117,27.744,0.0
Arrestin family,5,1,17.102,16.522,0.0
WD repeat ESC family,3,1,17.007,17.284,0.0
ODR-4 family,4,1,16.936,15.04,0.0
Neuropilin family,9,2,16.887,15.376,0.0
ITIH family,11,3,16.879,16.834,0.0
Tweety family,9,2,16.875,17.46,0.0
RAD52 family,4,1,16.812,25.801,0.0
Monovalent cation:proton antiporter 1 (CPA1) transporter (TC 2.A.36) family,7,2,16.795,26.999,0.0
Mut-7 family,5,1,16.732,32.485,0.0
Rotatin family,4,1,16.716,18.99,0.0
NOS family,8,2,16.714,22.098,0.0
CSN7/EIF3M family,3,1,16.667,18.964,0.0
Transient receptor (TC 1.A.4) family,53,11,16.667,18.861,0.0
Calsyntenin family,3,1,16.632,27.752,0.0
WD repeat ATG16 family,8,2,16.632,17.448,0.0
SLC12A transporter family,25,5,16.618,21.866,0.0
BLOC1S5 family,3,1,16.578,14.92,0.0
SLC35F solute transporter family,3,1,16.578,15.188,0.0
Glycosyltransferase group 1 family,12,3,16.551,13.378,0.0
Niban family,7,1,16.517,16.912,0.0
ZC3H12 family,3,1,16.511,19.229,0.0
TUBGCP family,9,3,16.505,21.597,0.0
Phosphatidyl serine synthase family,3,1,16.49,14.953,0.0
Peptidase A22B family,7,2,16.446,13.054,0.0
CAF1 family,7,2,16.432,16.202,0.0
IL-6 superfamily,3,1,16.425,16.52,0.0
WD repeat DDB2/WDR76 family,5,1,16.387,15.638,0.0
TCP11 family,7,1,16.383,17.227,0.0
Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family,9,2,16.279,12.975,0.0
MCMBP family,3,1,16.25,14.561,0.0
PTCD2 family,3,1,16.237,16.713,0.0
Dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family,6,2,16.19,17.586,0.0
STARD3 family,3,1,16.18,22.765,0.0
DMBT1 family,9,1,16.168,16.265,0.0
ISY1 family,3,1,16.14,20.252,0.0
Sidekick family,7,2,16.065,20.714,0.0
TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily,43,10,16.057,27.157,0.0
Unc-5 family,3,1,16.033,18.031,0.0
Natural cytotoxicity receptor (NCR) family,15,3,16.028,19.851,0.0
CFAP91 family,7,1,15.906,27.921,0.0
Cytidine and deoxycytidylate deaminase family,14,4,15.875,32.98,0.0
Immunoglobulin superfamily,237,50,15.85,20.679,0.0
ZCCHC4 family,3,1,15.789,15.135,0.0
Methylthiotransferase family,9,2,15.779,20.42,0.0
TPT transporter family,6,2,15.659,28.692,0.0
Major facilitator superfamily,61,16,15.613,13.407,0.0
Phosphoglycerate mutase family,7,2,15.6,12.8,0.0
Serine esterase family,7,2,15.594,22.706,0.0
Rab3-GAP catalytic subunit family,3,1,15.587,15.44,0.0
Macoilin family,3,1,15.561,22.146,0.0
MAD1 family,3,1,15.46,14.395,0.0
Spartan family,3,1,15.459,28.165,0.0
CRELD family,6,1,15.429,14.333,0.0
HMG-CoA reductase family,3,1,15.329,15.348,0.0
Glycosyltransferase 7 family,3,1,15.323,16.261,0.0
CSN1 family,4,1,15.225,20.301,0.0
SLC29A/ENT transporter (TC 2.A.57) family,4,1,15.18,15.762,0.0
Peptidase M8 family,6,2,15.1,11.963,0.0
Cation channel sperm-associated (TC 1.A.1.19) family,4,1,15.075,12.915,0.0
MsrA Met sulfoxide reductase family,5,1,15.023,13.241,0.0
Cyclodeaminase/cyclohydrolase family; Formiminotransferase family,4,1,15.001,12.955,0.0
Syndetin family,3,1,14.985,16.524,0.0
ITPRIP family,3,1,14.955,18.857,0.0
Izumo family,7,2,14.953,16.701,0.0
UPF0489 family,3,1,14.932,22.36,0.0
NKAIN family,3,1,14.904,9.96,0.0
Glycosyl hydrolase 85 family,3,1,14.854,17.279,0.0
TECPR1 family,4,1,14.794,15.434,0.0
DNA polymerase type-X family,3,1,14.661,27.187,0.0
NAD(P)-dependent epimerase/dehydratase family,6,2,14.65,16.324,0.0
Dynactin subunit 4 family,3,1,14.64,15.845,0.0
EF-Ts family,4,1,14.605,15.809,0.0
AAA ATPase family,35,10,14.58,16.517,0.0
DDI1 family,3,1,14.536,18.464,0.0
DHHC palmitoyltransferase family,26,8,14.513,18.412,0.0
Protein prenyltransferase subunit alpha family,3,1,14.512,10.607,0.0
Peptidase S9A family,4,1,14.465,11.015,0.0
Amidinotransferase family,3,1,14.421,12.565,0.0
ANF receptor family,3,1,14.418,12.604,0.0
ENDOU family,3,1,14.39,15.211,0.0
